Category: All categories,,
,,
Week,DENGUE: (State of Amazonas),SINTOMAS DENGUE: (State of Amazonas)
20/02/2022,13,10
27/02/2022,13,0
06/03/2022,11,0
13/03/2022,14,0
20/03/2022,16,11
27/03/2022,16,0
03/04/2022,17,0
10/04/2022,15,14
17/04/2022,17,12
24/04/2022,16,0
01/05/2022,16,13
08/05/2022,17,9
15/05/2022,18,18
22/05/2022,19,16
29/05/2022,16,13
05/06/2022,18,9
12/06/2022,18,0
19/06/2022,14,0
26/06/2022,10,0
03/07/2022,11,0
10/07/2022,7,0
17/07/2022,11,0
24/07/2022,12,0
31/07/2022,11,0
07/08/2022,10,0
14/08/2022,11,0
21/08/2022,9,0
28/08/2022,7,0
04/09/2022,0,0
11/09/2022,7,0
18/09/2022,9,9
25/09/2022,5,0
02/10/2022,7,0
09/10/2022,8,0
16/10/2022,12,11
23/10/2022,9,9
30/10/2022,5,0
06/11/2022,13,0
13/11/2022,8,0
20/11/2022,12,11
27/11/2022,11,0
04/12/2022,10,0
11/12/2022,10,0
18/12/2022,10,0
25/12/2022,10,0
01/01/2023,10,13
08/01/2023,12,0
15/01/2023,11,0
22/01/2023,5,0
29/01/2023,10,15
05/02/2023,13,0
12/02/2023,15,12
19/02/2023,16,10
26/02/2023,19,12
05/03/2023,15,0
12/03/2023,16,22
19/03/2023,16,0
26/03/2023,18,9
02/04/2023,15,12
09/04/2023,19,15
16/04/2023,16,11
23/04/2023,19,15
30/04/2023,13,0
07/05/2023,19,14
14/05/2023,19,25
21/05/2023,15,12
28/05/2023,13,0
04/06/2023,9,9
11/06/2023,12,0
18/06/2023,13,0
25/06/2023,10,12
02/07/2023,10,0
09/07/2023,12,0
16/07/2023,9,15
23/07/2023,9,9
30/07/2023,10,0
06/08/2023,9,0
13/08/2023,11,0
20/08/2023,10,0
27/08/2023,9,0
03/09/2023,5,0
10/09/2023,7,0
17/09/2023,10,19
24/09/2023,7,0
01/10/2023,8,0
08/10/2023,7,0
15/10/2023,7,0
22/10/2023,7,0
29/10/2023,6,0
05/11/2023,10,0
12/11/2023,10,10
19/11/2023,10,10
26/11/2023,10,0
03/12/2023,17,0
10/12/2023,20,18
17/12/2023,29,33
24/12/2023,56,53
31/12/2023,100,100
